part_no,slide_seq,layout_type,Headline,Subheadline,Body,CTA,Hook,VisualIdea,split_rule_note
19,1,title_body,実践3つのステップ（パート19）,このパートで何が起きるか,"曇ったメガネに気づく→しあわせメガネに替える→定着癒しで関わりを無意識レベルまで落とす。3ステップで進む。",Step1へ,具体メソッドの全体像,123のステップ・横並びアイコン,原稿「step詳細」冒頭の全体像
19,16,bullets,3つのメリット,,"①思考の癖に気づける ②怒りのスイッチが分かる ③子どもの行動を客観視しやすい。",まとめへ,,,箇条書き3つ,行112
19,17,title_body,Step1のまとめ,,"この3手順で、子どものことを落ち着いて見守れるママに近づく。",Step2へ,,,,行113
19,18,title_body,なぜなら,,"怒りは出来事そのものではなく、「見え方」から生まれる。",Step2ゴールへ,,,,行114
19,19,section,Step2のゴール,,"「しあわせメガネに掛け替える」で、怒りを生み出していた思考から解放されたママになる。",事例へ,,,ステップバッジ②,行115
19,20,bullets,ビフォーアフター（例）,,"物事の捉え方が拡大（翔子さん）。",感情の変化へ,,,,行116
19,21,bullets,感情・生活の変化（例）,,"爆発が減少（翔子さん）。怒る回数が減少（はるみさん）。",続きへ,,,,行117
19,22,bullets,できるようになること（例）,,"落ち着いて考えられる（翔子さん）。立ち直りが早くなる（はるみさん）。",なぜ次？,,,,行118
19,23,title_body,なぜ次にこれをやるのか,,"思考のクセは、気づいただけでは変わらない。",壁へ,,,,行119
19,24,bullets,つまずきやすい壁,,"無理にポジティブになろうとして逆効果。",本質へ,,,,行120
19,25,title_body,それはなぜか,,"しあわせメガネへの掛け替えができていないから。",つまり,,,,行121
19,26,title_body,つまり,,"曇ったメガネ（自分を苦しめる思い込み）を外し、しあわせメガネ＝自然と自分も子どももハッピーにシフトする。",心の準備へ,,,,行122
19,27,title_body,心の準備,,"「無理にポジティブじゃないと」と自分を追い込まない。関わり方は見方が変われば自然と変わる。",思考リセットへ,,,,行123
19,28,title_body,思考リセット,,"「思考リセット」メソッドを実践。思い込みを書き換えるワーク。",3手順へ,,,,行124-125
19,29,title_body,思考リセットの定義,,"思い込みを書き換える。",手順1へ,,,,行125
19,30,bullets,手順1,,"思い込みを書き出す。",手順2へ,,,,行126
19,31,bullets,手順2,,"その思い込みが本当に正しいか問い直す。",手順3へ,,,,行127
19,32,bullets,手順3,,"より柔らかい考えに置き換える。",メリットへ,,,,行128
19,33,title_body,なぜこのメソッドで変われるのか,,"感情に振り回されないママへ近づく理由を説明する。",続きへ,,,,行129
19,34,bullets,3つのメリット,,"①自分を責めにくい ②子どもに完璧を求めにくい ③心に余裕。",まとめへ,,,,行130
19,35,title_body,Step2のまとめ,,"穏やかに関われるママに近づく。",なぜなら,,,,行131
19,36,title_body,なぜなら,,"思考が変わると、感情反応も変わる。",Step3ゴールへ,,,,行132
19,37,section,Step3のゴール,,"「最幸親子・定着癒しメソッド」で、子どもの可能性を信じて関われるママになる。",事例へ,,,ステップバッジ③,行133
19,38,bullets,ビフォーアフター（例）,,"子どもが自発的に動く（ゆきさん）。親子の信頼が戻る（マヨネーズさん）。",続きへ,,,,行134
19,39,bullets,感情・生活の変化（例）,,"家族がチームになる（まやさん）。",続きへ,,,,行135
19,40,bullets,できるようになること（例）,,"子どもの立場を考えられる（はるみさん）。自分を大切にできる（ゆきさん）。",なぜ最後？,,,,行136
19,41,title_body,なぜ最後にこれをやるのか,,"できてもストレスで元の関わり方に戻りやすい。だから定着が要る。",壁へ,,,,行137
19,42,bullets,つまずきやすい壁,,"「子どもが変わらないと意味がない」。",本質へ,,,,行138
19,43,title_body,それはなぜか,,"定着癒しができていないから。",つまり,,,,行139
19,44,title_body,つまり,,"変化の着目を子どもではなく、自分に。正しい関わりを頑張るのではなく、ストレスでも崩れない無意識レベルまで落とす。",心の準備へ,,,,行140-141
19,45,title_body,心の準備,,"子どもが変わらないと意味がない、という思い込みをほどく。",定着癒しへ,,,,行141
19,46,title_body,【最幸親子】定着癒し,,"身につけた関わりを、脳が迷わず選べる状態に。意識しなくても自然にできるようにするワーク。",3手順へ,,,,行142-143要約
19,47,title_body,定着癒しの定義（要約）,,"身につけた関わり方を、神経回路レベルで定着させる。",手順1へ,,,,行143列B
19,48,bullets,手順1,,"できた関わりを振り返り、成功体験として脳に刻む。",手順2へ,,,,行144列B
19,49,bullets,手順2,,"感情が揺れても崩れない関わりを、日常で再現できるよう脳に定着させる。",手順3へ,,,,行145列B
19,50,bullets,手順3,,"親子の間に安心と信頼が自然に流れ、維持する。",メリットへ,,,,行146列B
19,51,title_body,なぜこのメソッドで変われるのか,,"子どもへの見方が変われるママになる理由を説明する。",続きへ,,,,行147列B
19,52,bullets,3つのメリット,,"①努力なしに良い関わりが選びやすい ②安心と信頼のパターンが定着 ③自己肯定感を高める関わり。",まとめへ,,,,行148列B
19,53,title_body,Step3のまとめ,,"子どもの可能性を信じて見守れるママに近づく。",なぜなら,,,,行149列B
19,54,title_body,なぜなら,,"意識だけで変わっても、無意識が変わらないと元に戻る。だから定着が要る。",パート終了,,穏やかな締め・余白,行150列B
19,55,note,原稿メモ（列3・4）,,"ゆかさん.csvのstep3付近は、列3（定着癒し系）と列4（しあわせメガネ実践系）が並列。本分割は「列B（2列目）」主軸。別トラックを使う場合は行を複製して差し替え。",参照,,,,行143-150列C-D
